plot_id,land_type,area_mu,source_note
B12,梯田,45.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B13,梯田,35.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
B14,梯田,20.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
C1,山坡地,15.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
C2,山坡地,13.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
C3,山坡地,15.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
C4,山坡地,18.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
C5,山坡地,27.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
C6,山坡地,20.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D1,水浇地,15.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D2,水浇地,10.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D3,水浇地,14.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D4,水浇地,6.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D5,水浇地,10.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D6,水浇地,12.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D7,水浇地,22.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
D8,水浇地,20.0,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E1,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E2,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E3,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E4,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E5,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E6,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E7,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E8,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E9,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E10,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E11,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E12,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E13,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E14,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E15,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
E16,普通大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
F1,智慧大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
F2,智慧大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
F3,智慧大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
F4,智慧大棚,0.6,(1) 平旱地、梯田和山坡地每年都只能种植一季作物。 (2) 水浇地每年可以种植一季也可以种植两季作物。 (3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。 (4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。
